,0
41,"I&#39;d say your &quot;helping others&quot; section isn&#39;t no specific to data analysts. I&#39;ve been an IT Technician and now I&#39;m a software dev and in during my time in those roles I&#39;ve been asked (to mention a few) excel forumlas, document design, graphic art, 3d modelling, audio recordings / mixing, data analysis, plastering (yes as in wall plastering and yep, no joke), support calls for clients, client training, house calls to staff. I don&#39;t see this as being a negative though, if you can tell people no (when you don&#39;t have the time) and ensure your work is done, then it makes people think your indispensible (that is also a negative, as sometimes it can prevent career development as they don&#39;t want to lose so many skills from that department)."
42,"Luke - Thank you for putting these amazing contents out there! Like yourself, I became an accidental data analyst. Your experience so valuable to me to understand this field!"
43,Goddamn that vidéo is spot-on!
44,I am planning to do my Masters in Business Analytics in the US to get into the field of Data analytics/science. I want to ensure that I get a great job at a decent firm in the US. I will be starting my master&#39;s in Fall 22. What do you suggest I do or divert my focus to for a better chance of landing jobs once I&#39;m in my master&#39;s degree? I have experience as a data analyst for 3 years.
45,"To be fair, a lot of the problems you mentioned are shared across most jobs."
46,Really insightful. Interesting point about investigating data before committing to the project. Company I work at makes all staff do &quot;data training&quot; to ensure people understand the importance of where data comes from and how it can be used.  It&#39;s a really big deal! Your videos are really great insights into how &#39;real world&#39; experience feels. Thanks!
47,Off topic...what are your thoughts on the EdX Harvard Professional Certificate in Data Science? Love your insight and your videos - Cheers!
48,I want to emphasize something that was not said in the video. <br>Domain Knowledge. <br><br>I was a Mechanical Engineering in manufacturing that switched to data analyst in health insurance. It was one of the most stressful job since I had to learn about the entire healthcare industry and its process. My supervisor told me that the analyst should be the smartest person in the room with the ability to answer all the questions management throws at you. I know that everyone&#39;s experience is different but im just saying what my transition was like. I switched to being a data engineer in manufacturing and never been more happier.
49,"Got more then just value, I got inspired."
50,Both of you guys are my biggest inspirations man.
51,datacazzz
52,"Hey Luke, I&#39;m now to your channel. I&#39;m currently preparing my exam for database fundamentals. Does data analyst also use EER schematic&#39;s. Also learning SQL is really fun! :)"
53,"lol.. you forgot &quot;your job is basically just copying code from github, right?&quot; and &quot;can we really trust data sciece, it&#39;s basically just a magic black box, right?&quot;"
54,I&#39;m having my technical interview for a position in data analytics tomorrow!
55,"As someone who has been a data analyst at a corporation for almost a decade, I feel you hit the nail on the head with most of this video.  Nice work giving people insight into the job!"
56,It looks like the salary range excludes senior data analysts. Is this because there are fewer of them and they exist only in bigger companies?
57,"I hate work as data analyst, but I really like job as data engineer.<br>I hate being constantly with stakeholders in useless meetings... Am introvert, I feel totally drained after those meetings"
58,"Data Nerds! What skill are you currently working on that is a non-technical skill (I.e. soft skill, analytical skill, domain knowledge)?"
59,Thanks so much for your video. I see so many videos geared towards Data scientists but not too many for analysts. I graduated Sept 2021 and I’m still looking for jobs but needed some motivation to not lose out on what I learned
60,thanks luke!!!
61,"It also useful for me as a beginner of financial analyst,  So gratefull for the video"
62,Stupid question… why is the sub’s tower covered in polka dots? Wouldn’t that make it stand out more rather then camouflage?
63,"Hi Luke! I hope you see this... I am wondering if you have any resources for finding projects to practice with and talk about in interviews (like the nutrition one you discussed in this video). I feel like I have the educational background, but am having trouble translating that over to solving applied business problems. I could really use some practice solving problems and testing my knowledge but do not see any online resources for this. If you could point me in the right direction I would be very appreciative. Thank you!"
64,Thank you
65,"Fun, easy to follow .Thanks."
66,"That Data Nerds do have a sense of humor is proven! <br>Also not having a skipping talking face every few seconds, because of an edit was very nice. <br>The visuals were a great touch to bring you point across. <br><br>Thanks, will probably need rewatch this a couple of times. <br><br>Oh and ... I subscribed to your channel"
67,How did you find your first job in the field?
68,"I have been looking at a career change. I have about 18 years of retail management experience but before that, I went to college for Computer Information Systems. Back then, I learned programming languages like Pascal, Fortran, and Cobol. I became burned out while I was taking Calculus 2. Mainly because the instructor was more interested in writing a textbook than teaching the class. I want to break away from the retail environment into something that is less physically demanding. My technical skills, I feel are outdated. I have a new Chromebook and this sounds like a viable option for me. I would like to know your opinion since you are currently in the field."
69,Hey. I don&#39;t go to college and recently heard about the CS boot camp can get me a job after complete the certificate. Is there any recommendation in your mind? I&#39;m interest in data analyst and which boot camp would you recommend.
70,Thanks luke for your video. I want to start my career as data analyst. I am going to follow what you said.
71,From one Navy veteran to another - Thanks for posting this awesome video.  You inspired me to get started on the Google Data Analytics Professional Certificate mentioned in this video.  Happy “needing”. Cheers!
72,This video is so good! I am planning on becoming a data analyst this year 2022.
73,"Excel happens to be still widely used, but the real value comes with R or Python. I honestly, have not conducted an anaylsis in Excel for years. As someone who is now hiring analysts, collaboration and reproducibility are just so much better in R or Python. Feel free ingest excel, but then compute in R or Python, and then output excel. In 2022…. Please, please don’t use MS Excel for analysis. Big red flag for a serious employer if ur showing off excel projects."
74,"<a href=""https://www.youtube.com/watch?v=CC66RXeTn_4&amp;t=1m26s"">1:26</a> This is my biggest issue. I&#39;ve been doing end-user IT support for years....I really want to &#39;graduate&#39; to a more specialized IT role, but every time I get started doing cert prep for anything , I can&#39;t retain the info...by the time I get to chapter 4 I have no idea what I learned in chapter 1."
75,"I wish I would found your channel sooner. My Excel and analytical skills earned me a promotion from an Electronics Technician to a Business Analyst.  I&#39;m currently building adhoc and self-serve analytics in Tableau. I&#39;ve completed 3 Python specializations on Coursera. However, I haven&#39;t used Python in a professional setting yet. Wish I would have learned SQL before Python. That&#39;s what I need now to advance to the next level."
76,Thank you for these resources and road map :). This will help a whole lot so I truly appreciate.
77,Thank you!
78,"This is so wild Luke....you basically shared my personal learning roadmap. Started my DA journey in March 2021. Started with Google DA cert, then moved on to UC-Davis SQL Training, then the UC-Davis Tableau specialization. Already had previous working knowledge of Excel. I was able to use these courses to increase my pay by over 50% by quitting teaching and becoming a data analyst. Thank you for the recommendations on what are the best Python courses though, that is my next target. Suppose I can benefit from the Excel course too. Thank you for sharing these. Crazy to see how my own personal journey matched this video. Wish I had this video when I started, I had to compare and contrast on these courses on my own."
79,i wanna change my job. how long does it take to i am able to get the 1st job? Thanks
80,"I started in Jan 2022 and I finished the Google data analytics course in abt 12 days I really enjoyed the sql and R part of the course,but they&#39;re just basics which is good for a beginner like me but I&#39;m definitely continuing with your specialization courses.  Thanks alot man"
81,"How about the course that I take are like Intermediate or advanced, because I focus to master each of my skills, at SQL, Tableau and Python"
82,"Hey Luke, I&#39;m a Tech Recruiter now (former IT support/sys admin guy), however i may have an opportunity to join my company&#39;s Analytics and Intelligence team as an Analyst. Would you recommend th Google DA cert as my intro into the field?"
83,Great video and its very helpful! I just wonder do i need to start first with Google Data Analyst and then with other courses?
84,This guy really told us everything we have to do...respect (and subscribed) :)
85,Senior always on point love your content. Could you pls help me fine my ground can I do Data Analyst without Database Tech
86,"Hi mate ! how are you? I have been doing the Microsoft Certified: Data Analyst Associate, Do you think it is the same as google one? Or which is better  from your point of view .<br>Thank you so much"
87,"If you&#39;re still having hard time finding a job or even just after the google certificate (and a portfolio of 1-2 projects), would freelancing a bit work better than more personal projects? <br>Cause it sounds as if it would be a bit more impressing that you managed to answer clients demands.<br>I&#39;d love your insight about this.<br><br>Overall i like numbers, statistics and data analyzing (amateur level, no certificates), also i love problem solving and making processes more efficient! It seems as if buissnes analyst might be the best option for me. Machine learning and ai might be the next step to think after a few years as buissnes/data analyst, but I don&#39;t think it would work without a degree, at least one haha<br>Thank you for your time :)"
88,"Hi luke, and again thank you so much for all the informations, i&#39;m  new data nerd  from Montreal and I got my first course via coursera but I have a difficulty about ID Verification, every time they say picture note clear when , any idea? Thanks"
89,Thx so much for this video! Just started the Data analytics course a few weeks ago and This video has me even more excited!
90,This is perfect! Thank you so much 🙏. Very clear road map that should keep me busy for a while.
91,"Hey Luke, firstly thank you for the great contents, I wanted to ask you few questions,<br>1. if I complete my Google analytics course and some other courses on course era and later cancel my subscription, will the finished courses will still be accessible later on?<br>2. As you have gained tons of experience in the field of data analysis, do you think pyspark and ELK stack will also be important skills as a data analyst?"
92,"Hi, Luke  thank you so much for all advices , after many years as web developer i decide to start new challenge to become data analytics  and i&#39; m gonna  follow all your recommendation   i have a question about excel , is it important for data analytics to learn VBA excel or no?you deserve an oscar for all informations  thank you Luke"
93,"in addition to learning the tools to perform data analysis, what basic knowledge is very supportive as a data analyst? Math? Stats? Or what? Thanks"
94,After all doing all these courses your looking at a good amount of time worth of studying . Wondering if it’s worth doing all this work for no degree in return
95,"If I like python with SQL Excel and power bi, ¿ I can get a job?"
96,"Hi Luke! Thank you for all your great content. I am about to start a Sales position with an Artificial Intelligence startup. I&#39;d like to learn more about the domain of Data Analytics so I can speak to my customers more intelligently. Do you think the Google Data Analytics Certificate would be worth my time? Or, would it be enough to just stay up to date on all your videos? <br><br>For reference, my degrees are in Engineering and I&#39;ve spent the last 3.5 years in sales with an Internet of Things startup."
97,Another GREAT informative video brother     Thanks 🙏
98,Data Nerds! 💻👨🏼‍💻🖥 I&#39;m curious if you have data science jobs that DO or DON&#39;T RELY on a particular OPERATING SYTEM❓
99,Everybody knows that Linux is the only proper way to go.
100,"So basically,  the pros for Windows are: it supports everything, it does not need workarounds, and it is cheaper. <br>The pros for Mac are: &quot;I like Apple,  and with a few tricks it can work as well as Windows&quot;<br><br>Got it ;)"
101,You could setup that your menu bar shows up on fullscreen and set your apps on fullscreen then. This way you maximize your 16“ real estate.
102,just get an external ssd or use bootcamp
103,"Hi bro, I am at beginner level and want to learn Ms Excel, Power Bi, SQL &amp; Python. Where to start? &amp; which online platform should i use to learn them?"
104,Would you recommend a Microsoft Go to get started?
105,Why settle for less? Get Linux 😂
106,"Hey, Thanks for the video Luke. I am just starting out to learn data analytics and was thinking of maybe getting a MacBook but this video helped."
107,Hi. What do you recommend For stata ana spss? The MacBook air continue been your choice..?
108,"I love that <a href=""https://www.youtube.com/watch?v=U4vh2EClJic&amp;t=2m49s"">2:49</a>  &quot;data nerd&quot; has become a unit of measure for this channel 🤣"
109,How come you don&#39;t have a Apple Watch to complete the Holy Fruit Trinity ?
110,"No, it doesn&#39;t mean Macs are more likely to be selected for data science. It just means relatively more Mac lover data scientists watch your channel. it&#39;s called selection bias, you can&#39;t compare your poll to a nationally representative survey. Anyhow, still an  interesting video."
111,"The 2 biggest factors for Windows dominance: Corporate culture and software suport, and the corporate culture ensures that dev companies aways prioritize windows, so its a loop. And from the tools you used as an example, I&#39;d say the only reason you&#39;d use them is corporate culture. SQL Server isn&#39;t a big deal, so is power bi,  but you can&#39;t choose if the company you work for decides for you. I&#39;m not a data analyst though, so maybe I&#39;m wrong."
112,"Hey Luke, thanks for your videos they’re awesome, just wanted to ask you if you know a way you could recommend or do a video on how set up MSSQL Server working in M1 MacBooks"
113,&quot;half a data nerd&quot; 😂
114,"Maybe as a data analyst windows is better, but for data science and engineering, linux and Mac are way better due to ease of installing things with apt and home brew. And the fact that working on the terminal helps you working in the cloud as well!"
115,Linux all the way. The power of the terminal + the price of a normal PC!
116,"Poll is biased because more people have windows laptop. If you will adjust for that bias, it will be 1:1. I myself use windows but I think new mac with m1 looks great as per reviews and I might opt for that when looking for my next laptop."
117,"Some problems are that you polled your audience which may be skewed toward mac. Additionally, you used the general world statistics for your control group. If you audience is predominantly from USA, then the control market share for macos is higher."
118,Yea but actually no :/ I could only afford the  8gb M1 MacBook air. Aaaaand it heats up and dies on my most intensive tasks.
119,Yeahh will you deliver to india
120,Give it to me.
121,I can buy it. But i can only pay the price of a macbook air at max🤣🤣
122,It’s all fun and games until tensorflow gets apple silicon support
123,"Cool. Carry out some more tests 😀 would be helpful for someone like me, who&#39;s planning to buy M1"
124,How can I test this code on my PC?
125,"Here a m1 air user, don&#39;t buy it if you are going to do heavy work there. Especially with 8gb of ram, it slows everything down a ton, if you get it, at least get 16gb of ram.<br><br>It also throtles sometimes"
126,$50!!!
127,What test did you ran? Was it like generating a sequence? Comparing only CPU? Or was it also drive speed?
128,Should a person go for 8gb or 16gb varient?
129,😅👍
130,Can I buy the Mac?
131,"Anyone has comments about the ram tho? My 16gb windows laptop is like 90% all the time, also I hate swap."
132,Run a parallelised code. <br>Serial code will take similar time even on a super commuting cluster
133,I’m still confused someone please help on choosing the right one for a graphic designer/video production student please
134,"I&#39;ll buy Your M1 Max for $1,300.00 if You don&#39;t mind   <b>smiles</b> 😊"
135,I offer 1k for the useless m1 max.
136,CPython is the master in concurrency
137,"no the best code in all of history is clearly JS,"
138,I found your video while looking for a laptop for college as I will be majoring in Data Science. Do you think a MacBook Air 16 RAM/1 TB will be enough or should I get a base model MacBook Pro 14? Or should I wait for the M2 Air?
139,"I found your video review by chance and my immediate reaction, as someone who frequently needs to do substantial data processing using Excel (and is beyond frustrated with Windows laptop performance), was &quot;at last !&quot;. Trouble is, the Excel section of your review was (paraphrasing) &#39;pretty good, but use a Windows machine is you need some specific functionality&#39;. This tells me almost nothing about the capabilities and relative performance of an M1 Max/Pro, either versus Windows machines, or versus the standard M1 chips. With Excel having such a huge user base I thought you&#39;d cover the performance of this software in far more detail."
140,"Thank you for your clear and understandable video. This is exactly what I was looking for. Currently I started my job as a data scientist/analyst, and I am considering to get M1 Pro 14 base model w 1TB. What I&#39;m wondering now is if I would ever need to upgrade memory to 32gb. Do you think either 32gb memory or advanced cpu and gpu option is worthy enough to spend about $400 as a rookie in data science? bcs this option isn&#39;t cheap at all it&#39;s so hard to choose;)"
141,&quot;Max is overkill&quot;.....as I purchase a 17in Razer blade with i9 12th gen 64gb ram and a 3080. When Google Collab would more than suit my needs. 🤣
142,Found exactly the video that I was looking for. Explained to the point covered everything that i hoped for being a Data Analyst. Thanks for the video. I think I&#39;ll go with M1 13inch pro. Thats more than enough. No point in getting m1 pro and max
143,"This is 2022. Not sure why YouTubers are even testing laptop GPUs when we have cloud GPUs for free or almost free. Don&#39;t think anyone is going to be training on the Nile River with no WiFi. And people need to stop comparing battery life too. No one has ever needed to work 17 hours straight on a laptop without power. Maybe 8 tops.<br><br>p.s, Rosetta2 ≠ &quot;fully supported&quot;"
144,"Got a new Macbook Pro 14 base model to start studying data analytics, picking up tomorrow, can’t wait !"
145,watch this video in 1.25x speed
146,"A really well-explained video, Thanks!"
147,"<a href=""https://www.youtube.com/watch?v=1sQDJSQBUe4&amp;t=15m54s"">15:54</a> :D:D"
148,Can I use windows most of the time on the base M1 Air 8GB for beginner development/data analytics through Parallels without any issues as if it&#39;s simply a windows laptop?
149,the ports coming back for the m1 pro is tempting me very much lol
150,Excellent video! Covered everything nicely.
151,"Hi Luke, I&#39;m planning to get a macbook but I&#39;m still confused if to get 13&quot; M1 or 14&quot;M1Pro. I&#39;m using VSC, VS, MqSQL, MOngoDB, Adobe XD, premier, illustrator, photoshop and  some jetbrains like webstorm. Would you recommend M1 to handle all these stuff? I&#39;m a budget conscious and M1Pro is bit stiff for me. I appreciate your thoughts and recommendation. Thanks!"
152,Great breakdown. Sadly all the mac book pros are out of stock for like the next two to three weeks...
153,What I was looking for. Perfect. You got a sub.
154,Were you able to get Windows 10 working under Parallels for the M1 Pro or M1 Max systems?  I am under the impression you have to use Windows 11 to work under Parallels on these chips.
155,SD card slot and HDMI are not PRO they should be standard!! Good video otherwise.
156,considering they are gonna upgrade to M2 MacBook next Spring.  better wait few months
157,This was the perfect review for me. Thanks so much!
158,"Hi Luke, I hope you are doing well.<br>I know that it is motivating for content creators that subscribers share stories, so this is a short version of mine.<br>I am currently a Bioengineering student in Buenos Aires (Arg) and I have always been interested in the world of data science. Thanks to your channel I was able to structure a path to follow in order to combine these two skills and fulfill myself as a professional and a person.<br>Thank you so much for everything !<br>Agustin."
159,Nice looping! Great content as always
160,"Hi luke, i just want to ask you about the remote jobs opportunities for data analyst , is it possible for a foreigner (from Algeria) to get a remote data analyst job in the US !!! <br>Thanks for answering"
161,Where can I get the projects? Any website in specific?
162,What do u eat in a day?
163,@Luke Barousse  can i ask you for your opinion about practicum yandex data analyst certificate
164,you are great one
165,I dont care if this is an Ad. Cursera is freaking good and is worth it
166,Today I’m Thankful for your content!!! 🦃🦃🦃
167,"Hi Luke, One of the things I struggle to grasp is how to use our tools and skills to make recomendations to employers. A lot of the time Employers don&#39;t know what the data means and its our Job to determine what the data means. What&#39;s the best way to learn this skill outside of real world experience? Or is that the only way?"
168,Just a Short Question: Are your working as a Data Analyst and want to become a Data Scientiest? Or are you just learning Skills Form Data Science to be a Better Data Analyst?<br>I know the skillset is quit similar but was is your Motivation?
169,Lets start building some basic projects.
170,hey luke as a starter should i go directly to google data analytics  course can you give road map to me i know mysql and java
171,"Hi Luke I was wondering is the new m1 Mac mini 16gb good for data ankyst work, are any software or tools you use not working on m1?"
172,"Great video Luke! :) I also am a big fan of Cousera, as well as Datacamp!"
173,"Hahaha I feel this! Got my degree in data science, work as a data analyst but trying to learn skills of a data engineer! Think I like the data analyst and engineer part more too! Great video!!"
174,jajajajajjaja
175,"Holy hahahahaha now im seeing that im also interested in data engineering, so i guess ill take some courses on both and have a wider experience haha"
176,"&quot;6 months. Minimum.&quot; This was so insanely accurate, I kind of cried a little"
177,This is brilliant! Thank you for all of the work you put into the channel because you&#39;ve been a fantastic resource as I continue to work toward transitioning from education to data analytics. You rock sir!
178,😂😂😂
179,What the Fu**!!!! LOL
180,I damn near fell out when you had The data engineer in the closet 😂😂
181,I love Dags XD
182,"At least consider Andrew Ng and Fei-fei Li in the frame pictures, the fake data scientist!"
183,You should def do tech reviews and data course recommendations for people unfamiliar with the field. They would be a blast!
184,OMG I just saw this HAHAHA I am greatly honoured
185,Jajaajjaajajaa ❤️
186,I LIKE the new guy!!!! . . . . . . . buuuuuuut 🤔 . . . . wasn&#39;t there ANOTHER guy locked in the closet? 🙄
187,"I have done my <a href=""http://b.tech/"">b.tech</a> Mechnical in 2015 but no experience so iam able for data science. Please Help me"
188,Sorry your not getting anything done without the project manager and business analyst. ☺️
189,this shit is so funny :((((((((((
190,"Congrats again on the 100K, Luke! This video cracked me up. The facial expressions killed me. 🤣"
191,"I like your videos , it&#39;s really amazing and useful to me"
192,Nice!!!
193,Where do you usually go to collect data for your data science projects? 👨🏼‍💻📊🤖📈
