,0
0,I promise one day touropia will use my songs on their video. I love this county😍😍
1,So good
2,"<a href=""https://youtu.be/zY3Izzv0Wsg"">https://youtu.be/zY3Izzv0Wsg</a><br>पहाड़ की लाईफ स्टाइल"
3,Thanks you for updating I appreciate your efforts touropia
4,Thanks you for updating I appreciate your efforts thank you
5,Wonderful video! All of these countries really do have extraordinary and stunning places worth visiting. 😍✨
6,Super ! ❤☆
7,Can&#39;t live without hearing you...so attractive way of speaking period <br>Love ❤ from India 🇮🇳
8,Europe is beautiful ❤❤
9,I can’t believe Ireland wasn’t on the list 😮
10,Just turkey 🇹🇷 Greece 🇬🇷
11,Finland
12,italia molto bella paese nel mondo....where is turkey in this video ???
13,"# 1 Greece, but no mention of Turkey at all! Love all the countries though :)"
14,Athens the ugliest city ever
15,and the other countries are very beautiful but Greece is in our hearts and they put Thessaloniki in the video double love. ❤ 🥰🇬🇷
16,"Würzburg, Germany 🇩🇪 February 2022 -4K -HDR walking Tour 🚶‍♀️🎬<br><a href=""https://youtu.be/R-QG5-V7fnc"">https://youtu.be/R-QG5-V7fnc</a>"
17,"<a href=""https://youtu.be/HjmdzGqz75E"">https://youtu.be/HjmdzGqz75E</a>"
18,cool
19,Birpara g p two w b
20,cod international
21,"Greeting from Indonesia,beautiful place nice to see"
22,"Travel to Kenya a country in Africa ,one of the best countries full of wild range encounter and comfort,For more travel with Favour tours and safaris"
23,What a beautiful world ❤❤❤
24,cartagena was named after the city of catagena in Spain which was founded &amp; named  by the Carthaginians of North Africa  modern days Tunisia &amp; east Algeria
25,👌👌
26,I loved the video as you have not included the isolated NZ!!!
27,"Cape Town truly belongs in the Top 5. So much to see, do and explore."
28,Is that Dolores Park on the video thumbnail? <br>I remember eating a potent pot cookie there when there was live music. <br>Etched in stone(d).
29,It&#39;s a nice place in the world Thank you for your guidance.
30,It&#39;s great that my hometown is featured in this video~~~
31,Wonderful citys~♥~~♥~
32,Music super vive.<br>Can anyone help me use this video music?
33,why no Shanghai
34,"<a href=""https://youtube.com/channel/UCLfOUqUCvQ-t6cecM1QvgoQ"">https://youtube.com/channel/UCLfOUqUCvQ-t6cecM1QvgoQ</a>"
35,Toop
36,جميل جدا رائع
37,"<a href=""https://youtu.be/j8q8zY703l0"">https://youtu.be/j8q8zY703l0</a>"
38,Vi siete dimenticati di Napoli
39,MERA BHARATH MAHAN... 🇮🇳
40,"How about Pam Anderson, her boob&#39;s, they got to be included"
41,"Borobudur temple,indonesia❤️"
42,I THINK IT VERY AWESOME👍
43,"These places are amazing, beautiful, wonderful and educative also"
44,Manifesting to visit some of these wonders around the world
